,lon,lat,Node,mean,std
8410140,-66.982315,44.9033,1034613,-0.04747582958457175,0.40511990718874374
8413320,-68.203,44.393,1162475,-0.033279883445755096,0.26335481157847834
8418150,-70.245674,43.6567,1176249,-0.030790601768731888,0.27379816548592995
8419317,-70.56331,43.32,1182888,-0.044727719525865794,0.28774835192760084
8443970,-71.03838,42.35392,991751,-0.09756705350490376,0.2784826214045609
8447930,-70.6717,41.5233,1268115,-0.1137629609116531,0.0649554954737912
8449130,-70.091286,41.285,1411509,,
8461490,-72.0867,41.355,1052139,-0.13514805105622482,0.1136387305346109
8465705,-72.9125,41.2833,824413,-0.15120580481734527,0.18535553870241805
8467150,-73.1817,41.1733,730946,-0.18238588081301935,0.1870756737424757
8510560,-71.965,41.048,1395009,-0.18717004272481372,0.05497538561897258
8516945,-73.767883,40.81031,950489,-0.22428558202419033,0.22931193253113405
8518750,-74.0142,40.699296000000004,1266674,-0.20965175610421535,0.12981670636973489
8531680,-74.01,40.4667,1449501,-0.2450756904746102,0.13422544430033076
8534720,-74.418,39.354,1562085,-0.24782971939684398,0.0713758595187583
8536110,-74.96365899999999,38.969112,1546015,,
8557380,-75.11916,38.785756,1540535,-0.26776415807829634,0.13122959701952083
8570283,-75.09167,38.32833,1579004,-0.22105138462159715,0.21991152535004466
8635750,-76.46444,37.996109999999994,1753697,-0.29119071910892097,0.05206413672487762
8638901,-76.083333,37.033333,1667208,-0.33172350693028524,0.040281548911798706
8651370,-75.74667,36.18333,1592136,-0.29546380711675607,0.07517501948470279
8656483,-76.671,34.72,1416194,-0.26177989452969624,0.05048050166007917
8658163,-77.784973,34.21331,1405214,-0.33502539554419714,0.12096403402253407
8661070,-78.916384,33.655,1350289,-0.18222658987241336,0.14204932791004926
8665530,-79.922178,32.7817,1236589,-0.2984902151391848,0.24169394403473418
8670870,-80.9017,32.034612,1165583,-0.2372809669695299,0.221626033693814
8720030,-81.466768,30.6717,1152522,-0.21209321671094808,0.21920172105259256
8720218,-81.43,30.3967,1212537,-0.09499161083371128,0.12274446555774884
8721604,-80.59352700000001,28.41583,1251971,-0.30788467034748807,0.06439972204601425
8722670,-80.03416999999999,26.612779999999997,1302999,-0.2674703369067207,0.057121994769990136
8723214,-80.159,25.731154999999998,1160390,-0.1816395772508194,0.09553681003140832
8723970,-81.105,24.7138,843056,-0.17875921998346925,0.06958022456171062
8724580,-81.817,24.549,805177,-0.2046714207638872,0.07722307478198165
8725110,-81.8106,26.13167,677402,-0.18326428241243123,0.11717335666855028
8726724,-82.833,27.9783,642196,-0.15523046337816562,0.08634753354097306
8727520,-83.03089,29.1306,594808,-0.07370090807230306,0.1152189738976376
8729210,-85.88,30.211,549873,-0.23105084237906426,0.06764261938337154
8729840,-87.212,30.4015,506871,-0.39434193183914407,0.05458518752129787
8735180,-88.0732,30.25,551721,-0.4255516470627701,0.055117368745426394
8747437,-89.3241,30.326390000000004,310024,-0.4395175506575266,0.0743720523411522
8760721,-89.25831,29.178309999999996,598673,-0.2464450010904433,0.03540555180214152
8761305,-89.67898100000001,29.870579,296041,-0.6423810135214844,0.08377370749034811
8761724,-89.94894000000001,29.26333,593088,-0.3327523344340799,0.07344664665933764
8764314,-91.3839,29.3675,580635,-0.43356565974395794,0.09150786804637512
8766072,-92.305,29.555,554724,,
8768094,-93.34289,29.76817,518411,-0.4669194301876634,0.07566525493164546
8770822,-93.83978,29.68833,493081,-0.4453991217999093,0.07330814820620257
8772471,-95.295,28.935,449717,-0.44817146391722246,0.08148920340798076
8773767,-96.3301,28.4269,435844,-0.5326326099915261,0.07004395907747361
8775241,-97.03833,27.83667,435338,-0.5408502308149502,0.08503086640934036
8775870,-97.2167,27.58,435421,-0.5641030905846428,0.11531178845239037
8779748,-97.166667,26.071667,476631,-0.41114063649680715,0.08543001117966159
