serial_nr,stationid,stationname,state,agency,vertical_datum,lat_moved,lon_moved,navd_to_msl,lat_orig,lon_orig
1,2695540,Bermuda Esso Pier,BM,NOAA_NOS,MSL,32.37338889,-64.70330556,,32.37338889,-64.70330556
2,8410140,Eastport Passamaquoddy Bay,ME,NOAA_NOS,MSL,44.9033,-66.982315,0.23,44.9033,-66.985
3,8411060,Cutler Farris Wharf,ME,NOAA_NOS,MSL,44.65703,-67.20467,0.35,44.65703,-67.20467
4,8413320,Bar Harbor,ME,NOAA_NOS,MSL,44.3917,-68.205,0.276,44.3917,-68.205
5,8418150,Portland,ME,NOAA_NOS,MSL,43.6567,-70.245674,0.32,43.6567,-70.2467
6,8419317,Wells,ME,NOAA_NOS,MSL,43.32,-70.56331,0.37,43.32,-70.56331
7,8423898,Fort Point,NH,NOAA_NOS,MSL,43.07139,-70.710445,0.31,43.07139,-70.71056
8,8443970,Boston,MA,NOAA_NOS,MSL,42.35392,-71.05033,0.3,42.35392,-71.05033
9,8447386,Fall River,MA,NOAA_NOS,MSL,41.70431,-71.168197,0.21,41.70431,-71.16411
10,8447435,Chatham,MA,NOAA_NOS,MSL,41.6885,-69.948478,0.1999,41.6885,-69.9511
11,8447930,Woods Hole,MA,NOAA_NOS,MSL,41.5233,-70.6717,0.38,41.5233,-70.6717
12,8449130,Nantucket Island,MA,NOAA_NOS,MSL,41.285,-70.091286,0.2674,41.285,-70.0967
13,8452660,Newport,RI,NOAA_NOS,MSL,41.505,-71.3267,0.3,41.505,-71.3267
14,8452944,Conimicut Light,RI,NOAA_NOS,MSL,41.7167,-71.3433,0.2979,41.7167,-71.3433
15,8454000,Providence,RI,NOAA_NOS,MSL,41.8067,-71.398883,0.22,41.8067,-71.4017
16,8454049,Quonset Point,RI,NOAA_NOS,MSL,41.583762,-71.411,0.4175,41.5868,-71.411
17,8461490,New London,CT,NOAA_NOS,MSL,41.355,-72.0867,0.3,41.355,-72.0867
18,8465705,New Heaven,CT,NOAA_NOS,MSL,41.2833,-72.9083,0.3553,41.2833,-72.9083
19,8467150,Bridegport,CT,NOAA_NOS,MSL,41.1733,-73.1817,0.22,41.1733,-73.1817
20,8510560,Montauk,NY,NOAA_NOS,MSL,41.0483,-71.96,0.33,41.0483,-71.96
21,8516945,Kings Point,NY,NOAA_NOS,MSL,40.81031,-73.767883,0.27,40.81031,-73.765
22,8518750,The Battery,NY,NOAA_NOS,MSL,40.699296,-74.0142,0.2,40.7006,-74.0142
23,8518962,Turkey Point Hudson River NERRS,NY,NOAA_NOS,MSL,42.0139,-73.9392,,42.0139,-73.9392
24,8519483,Bergen Point West Reach,NY,NOAA_NOS,MSL,40.640991,-74.14167,0.1801,40.63667,-74.14167
25,8531680,Sandy Hook,NJ,NOAA_NOS,MSL,40.4667,-74.01,0.24,40.4667,-74.01
26,8534720,Atlantic City,NJ,NOAA_NOS,MSL,39.355,-74.4183,0.4,39.355,-74.4183
27,8536110,Cape May Ferry Terminal,NJ,NOAA_NOS,MSL,38.96833,-74.96,0.45,38.96833,-74.96
28,8537121,Ship John Shoal,NJ,NOAA_NOS,MSL,39.305,-75.375,0.125,39.305,-75.375
29,8539094,Burlington Delaware River,NJ,NOAA_NOS,MSL,40.08,-74.87333,-0.5896,40.08,-74.87333
30,8540433,Marcus Hook,PA,NOAA_NOS,MSL,39.8117,-75.41,-0.162,39.8117,-75.41
31,8545240,Philadelphia,PA,NOAA_NOS,MSL,39.93333,-75.138885,-0.38,39.93333,-75.14167
32,8548989,Newbold,PA,NOAA_NOS,MSL,40.136025,-74.7519,-0.527,40.1373,-74.7519
33,8551762,Delaware City,DE,NOAA_NOS,MSL,39.5817,-75.5883,0.026,39.5817,-75.5883
34,8551910,Reedy Point,DE,NOAA_NOS,MSL,39.558742,-75.57331,0.05,39.55831,-75.57331
35,8555889,Brandywine Shoa Light,DE,NOAA_NOS,MSL,38.985,-75.1133,-0.298,38.985,-75.1133
36,8557380,Lewes,DE,NOAA_NOS,MSL,38.785756,-75.11916,0.4,38.78278,-75.11916
37,8570283,Ocean City Inlet,MD,NOAA_NOS,MSL,38.32833,-75.09167,0.46,38.32833,-75.09167
38,8571421,Bishops Head,MD,NOAA_NOS,MSL,38.219265,-76.03867,0.23,38.22039,-76.03867
39,8571892,Cambridge,MD,NOAA_NOS,MSL,38.575703,-76.0683,0.09,38.5733,-76.0683
40,8573364,Tolchester Beach,MD,NOAA_NOS,MSL,39.21333,-76.24976,0.086,39.21333,-76.245
41,8573927,Chesapeake City,MD,NOAA_NOS,MSL,39.5267,-75.81,-0.027,39.5267,-75.81
42,8574680,Baltimore,MD,NOAA_NOS,MSL,39.26667,-76.57311,0.03,39.26667,-76.57833
43,8575512,Annapolis,MD,NOAA_NOS,MSL,38.98451,-76.479592,0.05,38.98328,-76.48156
44,8577330,Solomons Island,MD,NOAA_NOS,MSL,38.31667,-76.45167,0.09,38.31667,-76.45167
45,8594900,Washington,DC,NOAA_NOS,MSL,38.87333,-77.02167,-0.15,38.87333,-77.02167
46,8631044,Wachapreague,VA,NOAA_NOS,MSL,37.60778,-75.68583,0.35,37.60778,-75.68583
47,8632200,Kiptopeke,VA,NOAA_NOS,MSL,37.1667,-75.989994,0.48,37.1667,-75.9883
48,8635027,Dahlgren,VA,NOAA_NOS,MSL,38.31975,-77.03661,0.08,38.31975,-77.03661
49,8635750,Lewisetta,VA,NOAA_NOS,MSL,37.99611,-76.46444,0.07,37.99611,-76.46444
50,8636580,Windmill Point,VA,NOAA_NOS,MSL,37.61611,-76.29,0.44,37.61611,-76.29
