serial_nr,stationid,stationname,state,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,8410140,Eastport Passamaquoddy Bay,ME,MSL,-66.982315,44.903300,0.2300,0.0701,NOAA gage,-66.982315,44.903300,36.7010,2034577,1034613
2,8413320,Bar Harbor,ME,MSL,-68.205000,44.391700,0.2760,0.0841,NOAA gage,-68.203000,44.393000,4.5782,2287004,1162475
3,8418150,Portland,ME,MSL,-70.245674,43.656700,0.3200,0.0975,NOAA gage,-70.245674,43.656700,11.3050,2314208,1176249
4,8419317,Wells,ME,MSL,-70.563310,43.320000,0.3700,0.1128,NOAA gage,-70.563310,43.320000,1.6825,2327314,1182888
5,8443970,Boston,MA,MSL,-71.038380,42.353920,0.3000,0.0914,NOAA gage,-71.038380,42.353920,12.3820,1939516,991751
6,8447930,Woods Hole,MA,MSL,-70.671700,41.523300,0.3800,0.1158,NOAA gage,-70.671700,41.523300,3.7335,2482558,1268115
7,8449130,Nantucket Island,MA,MSL,-70.091286,41.285000,0.2674,0.0815,NOAA gage,-70.091286,41.285000,4.8158,2776207,1411509
8,8461490,New London,CT,MSL,-72.086700,41.355000,0.3000,0.0914,NOAA gage,-72.086700,41.355000,8.1686,2069180,1052139
9,8465705,New Heaven,CT,MSL,-72.908300,41.283300,0.3553,0.1083,NOAA gage,-72.912500,41.283300,3.5746,1612257,824413
10,8467150,Bridegport,CT,MSL,-73.181700,41.173300,0.2200,0.0671,NOAA gage,-73.181700,41.173300,5.5156,1435757,730946
11,8510560,Montauk,NY,MSL,-71.960000,41.048300,0.3300,0.1006,NOAA gage,-71.965000,41.048000,4.4606,2735627,1395009
12,8516945,Kings Point,NY,MSL,-73.767883,40.810310,0.2700,0.0823,NOAA gage,-73.767883,40.810310,7.1101,1858462,950489
13,8518750,The Battery,NY,MSL,-74.014200,40.699296,0.2000,0.0610,NOAA gage,-74.014200,40.699296,10.5210,2492332,1266674
14,8531680,Sandy Hook,NJ,MSL,-74.010000,40.466700,0.2400,0.0731,NOAA gage,-74.010000,40.466700,2.9795,2850609,1449501
15,8534720,Atlantic City,NJ,MSL,-74.418300,39.355000,0.4000,0.1219,NOAA gage,-74.418000,39.354000,3.3689,3069544,1562085
16,8536110,Cape May Ferry Terminal,NJ,MSL,-74.960000,38.968330,0.4500,0.14,NOAA gage,-74.961929,38.968652,6.00,3037239,1545989
17,8557380,Lewes,DE,MSL,-75.119160,38.785756,0.4000,0.1219,NOAA gage,-75.119160,38.785756,3.7157,3029952,1540535
18,8570283,Ocean City Inlet,MD,MSL,-75.091670,38.328330,0.3600,0.1097,NOAA gage,-75.091670,38.328330,3.0895,3103397,1579004
19,8635750,Lewisetta,VA,MSL,-76.464440,37.996110,0.0700,0.0213,NOAA gage,-76.464440,37.996110,2.2272,3449335,1753697
20,8638901,CBBT Chesapeake Channel,VA,MSL,-76.083333,37.033333,0.4210,0.1283,NOAA gage,-76.083333,37.033333,12.9900,3279047,1667208
21,8651370,Duck Pier,NC,MSL,-75.746670,36.183330,0.4200,0.1280,NOAA gage,-75.746670,36.183330,3.4687,3131547,1592136
22,8656483,Beaufort,NC,MSL,-76.670000,34.720000,0.3700,0.1128,NOAA gage,-76.671000,34.720000,2.1094,2778070,1416194
23,8658163,Wrightsville Beach,NC,MSL,-77.784973,34.213310,0.5600,0.1707,NOAA gage,-77.784973,34.213310,2.5759,2763936,1405214
