serial_nr,stationid,stationname,state,source,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,2695540,Bermuda Esso Pier,BM,NOAA_NOS,MSL,-64.703306,32.373389,NaN,NaN,NOAA gage,-64.703306,32.373389,459.26,4159186,493152
2,8410140,Eastport Passamaquoddy Bay,ME,NOAA_NOS,MSL,-66.982315,44.9033,0.23,0.07,NOAA gage,-66.982315,44.9033,36.318,497389,255997
3,8411060,Cutler Farris Wharf,ME,NOAA_NOS,MSL,-67.20467,44.65703,0.35,0.11,NOAA gage,-67.20467,44.65703,3.6162,636863,331180
4,8413320,Bar Harbor,ME,NOAA_NOS,MSL,-68.205,44.3917,0.28,0.08,NOAA gage,-68.203,44.393,2.9926,574418,295711
5,8418150,Portland,ME,NOAA_NOS,MSL,-70.245674,43.6567,0.32,0.1,NOAA gage,-70.245674,43.6567,11.49,9381268,300583
6,8419317,Wells,ME,NOAA_NOS,MSL,-70.56331,43.32,0.37,0.11,NOAA gage,-70.56331,43.32,2.2109,593416,305492
7,8423898,Fort Point,NH,NOAA_NOS,MSL,-70.71056,43.07139,0.31,0.09,NOAA gage,-70.710445,43.07139,13.65,619201,318852
8,8443970,Boston,MA,NOAA_NOS,MSL,-71.03838,42.35392,0.3,0.09,NOAA gage,-71.03838,42.35392,4.5408,4892838,254334
9,8447386,Fall River,MA,NOAA_NOS,MSL,-71.16411,41.70431,0.21,0.06,NOAA gage,-71.168197,41.70431,5.0614,4926921,273774
11,8447930,Woods Hole,MA,NOAA_NOS,MSL,-70.6717,41.5233,0.38,0.12,NOAA gage,-70.6717,41.5233,2.1285,656424,338101
12,8449130,Nantucket Island,MA,NOAA_NOS,MSL,-70.091286,41.285,0.27,0.08,NOAA gage,-70.091286,41.285,4.9962,4031909,430942
13,8452660,Newport,RI,NOAA_NOS,MSL,-71.3267,41.505,0.3,0.09,NOAA gage,-71.3267,41.505,4.7422,5055201,341559
14,8452944,Conimicut Light,RI,NOAA_NOS,MSL,-71.3433,41.7167,0.3,0.09,NOAA gage,-71.3433,41.7167,14.039,482131,249707
16,8454049,Quonset Point,RI,NOAA_NOS,MSL,-71.411,41.5868,0.42,0.13,NOAA gage,-71.411,41.583762,9.4464,4974401,298674
