serial_nr,stationid,stationname,state,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,8760721,Pilot Town,LA,MSL,-89.258,29.178,0,0, NOAA NOS,-89.259,29.178,7.95,1434756,746753
2,8760922,Pilots Station ,LA,MSL,-89.407,28.932,0,0, NOAA NOS,-89.407,28.931,2.98,2088351,1077709
3,8761305,Shell Beach,LA,MSL,-89.673,29.868,0,0, NOAA NOS,-89.672,29.868,1.91,1627916,813134
4,8761724,Grand Isle,LA,MSL,-89.957,29.263,0,0, NOAA NOS,-89.959,29.265,0.46,562776,271034
5,8761927,New Canal Station,LA,MSL,-90.113,30.027,0,0, NOAA NOS,-90.113,30.027,0.76,1023651,521293
6,8761955,Carrollton,LA,MSL,-90.135,29.933,0,0, NOAA NOS,-90.135,29.933,3.31,1993632,995664
7,8762075,Port Fourchon,LA,MSL,-90.207,29.115,0,0, NOAA NOS,-90.208,29.114,0.49,417140,209258
8,8762482,West Bank 1 Bayou Gauche,LA,MSL,-90.418,29.777,0,0, NOAA NOS,-90.419,29.777,4.02,899920,457050
9,8764044,Tesoro Marine Terminal,LA,MSL,-91.237,29.667,0,0, NOAA NOS,-91.237,29.666,19.46,2738229,1407580
10,8764227,LAWMA Amerada Pass,LA,MSL,-91.34,29.45,0,0, NOAA NOS,-91.33998,29.451638,1.29,2654680,1364752
11,8766072,Freshwater Canal,LA,MSL,-92.305,29.555,0,0, NOAA NOS,-92.305,29.555,0.66,2195016,1131682
12,8767816,Lake Charles,LA,MSL,-93.222,30.225,0,0, NOAA NOS,-93.223,30.224,3.98,762314,407103
13,8767961,Bulk Terminal,LA,MSL,-93.3,30.19,0,0, NOAA NOS,-93.3,30.191,1.48,921986,487272
