serial_nr,stationid,stationname,state,source,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,2695540,Bermuda Esso Pier,BM,NOAA_NOS,MSL,-64.703306,32.373389,NaN,NaN,NOAA gage,-64.706404,32.366967,459.177859,2729901,1419124
2,8410140,Eastport Passamaquoddy Bay,ME,NOAA_NOS,MSL,-66.982315,44.903300,0.23,0.07,NOAA gage,-66.982762,44.904521,36.251416,1764853,919954
3,8411060,Cutler Farris Wharf,ME,NOAA_NOS,MSL,-67.204670,44.657030,0.35,0.11,NOAA gage,-67.196058,44.652506,3.588063,2133387,1119965
4,8413320,Bar Harbor,ME,NOAA_NOS,MSL,-68.205000,44.391700,0.28,0.08,NOAA gage,-68.206081,44.394264,4.419281,3232273,1033572
5,8418150,Portland,ME,NOAA_NOS,MSL,-70.245674,43.656700,0.32,0.10,NOAA gage,-70.23916,43.659319,11.419582,2005097,1045929
6,8419317,Wells,ME,NOAA_NOS,MSL,-70.563310,43.320000,0.37,0.11,NOAA gage,-70.559896,43.319574,2.147155,3237524,1058500
7,8423898,Fort Point,NH,NOAA_NOS,MSL,-70.710560,43.071390,0.31,0.09,NOAA gage,-70.70581,43.06558,13.566216,2092746,1091638
8,8443970,Boston,MA,NOAA_NOS,MSL,-71.038380,42.353920,0.30,0.09,NOAA gage,-70.995809,42.349118,4.452263,1754793,914726
9,8447386,Fall River,MA,NOAA_NOS,MSL,-71.164110,41.704310,0.21,0.06,NOAA gage,-71.189594,41.698633,4.99534,1864000,977248
10,8447435,Chatham,MA,NOAA_NOS,MSL,-69.951100,41.688500,0.20,0.06,NOAA gage,-69.929309,41.685987,1.392812,2418744,1266261
11,8447930,Woods Hole,MA,NOAA_NOS,MSL,-70.671700,41.523300,0.38,0.12,NOAA gage,-70.669641,41.52312,2.013446,2187018,1140777
12,8449130,Nantucket Island,MA,NOAA_NOS,MSL,-70.091286,41.285000,0.27,0.08,NOAA gage,-70.090294,41.285607,4.897749,3254907,1663626
13,8452660,Newport,RI,NOAA_NOS,MSL,-71.326700,41.505000,0.30,0.09,NOAA gage,-71.326706,41.503521,4.649902,3246566,1660861
14,8452944,Conimicut Light,RI,NOAA_NOS,MSL,-71.343300,41.716700,0.30,0.09,NOAA gage,-71.342184,41.717362,13.962688,3213279,1649674
15,8454000,Providence,RI,NOAA_NOS,MSL,-71.401700,41.806700,0.22,0.07,NOAA gage,-71.348062,41.723654,10.349325,1714652,893812
