serial_nr,stationid,stationname,state,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,8410140,Eastport Passamaquoddy Bay,ME,MSL,-66.982315,44.9033,0.23,0.0701,NOAA gage,-66.98232,44.90330,10.75,714,2038
2,8413320,Bar Harbor,ME,MSL,-68.205,44.3917,0.276,0.0841,NOAA gage,-68.20300,44.39300,10.00,758,382
3,8418150,Portland,ME,MSL,-70.245674,43.6567,0.32,0.0975,NOAA gage,-70.24567,43.65670,10.00,879,444
4,8419317,Wells,ME,MSL,-70.56331,43.32,0.37,0.1128,NOAA gage,-70.56331,43.32000,10.00,902,455
5,8443970,Boston,MA,MSL,-71.03838,42.35392,0.3,0.0914,NOAA gage,-71.03838,42.35392,3.61,957,483
6,8447930,Woods Hole,MA,MSL,-70.6717,41.5233,0.38,0.1158,NOAA gage,-70.67170,41.52330,8.07,1065,536
7,8449130,Nantucket Island,MA,MSL,-70.091286,41.285,0.2674,0.0815,NOAA gage,-70.09129,41.28500,6.70,15945,9414
8,8461490,New London,CT,MSL,-72.0867,41.355,0.3,0.0914,NOAA gage,-72.08670,41.35500,8.05,1158,586
9,8465705,New Heaven,CT,MSL,-72.9083,41.2833,0.3553,0.1083,NOAA gage,-72.91250,41.28330,9.00,1184,599
10,8467150,Bridegport,CT,MSL,-73.1817,41.1733,0.22,0.0671,NOAA gage,-73.18170,41.17330,5.13,1196,604
11,8510560,Montauk,NY,MSL,-71.96,41.0483,0.33,0.1006,NOAA gage,-71.96500,41.04800,4.42,16004,8326
12,8516945,Kings Point,NY,MSL,-73.767883,40.81031,0.27,0.0823,NOAA gage,-73.76788,40.81031,8.28,1223,2284
13,8518750,The Battery,NY,MSL,-74.0142,40.699296,0.2,0.061,NOAA gage,-74.01420,40.69930,10.22,4394,2289
