serial_nr,stationid,stationname,state,source,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,,deg,deg,ft,m,-,deg,deg,m MSL,-,-
1,2695540,Bermuda Esso Pier,BM,NOAA_NOS,MSL,-64.703306,32.373389,NaN,NaN,NOAA gage,-64.706404,32.366967,459.178,10366303,5227942
2,8410140,Eastport Passamaquoddy Bay,ME,NOAA_NOS,MSL,-66.982315,44.903300,0.23,0.07,NOAA gage,-66.982762,44.904521,36.251,7582577,3820832
3,8411060,Cutler Farris Wharf,ME,NOAA_NOS,MSL,-67.204670,44.657030,0.35,0.11,NOAA gage,-67.196058,44.652506,3.588,8837662,4471193
4,8413320,Bar Harbor,ME,NOAA_NOS,MSL,-68.205000,44.391700,0.28,0.08,NOAA gage,-68.206081,44.394264,4.419,8314911,4208659
5,8418150,Portland,ME,NOAA_NOS,MSL,-70.245674,43.656700,0.32,0.10,NOAA gage,-70.239160,43.659319,11.420,30525427,4228608
6,8419317,Wells,ME,NOAA_NOS,MSL,-70.563310,43.320000,0.37,0.11,NOAA gage,-70.559896,43.319574,2.147,8470370,4267484
7,8423898,Fort Point,NH,NOAA_NOS,MSL,-70.710560,43.071390,0.31,0.09,NOAA gage,-70.705810,43.065580,13.566,8658174,4362460
8,8443970,Boston,MA,NOAA_NOS,MSL,-71.038380,42.353920,0.30,0.09,NOAA gage,-70.995809,42.349118,4.452,18535819,3764193
9,8447386,Fall River,MA,NOAA_NOS,MSL,-71.164110,41.704310,0.21,0.06,NOAA gage,-71.189594,41.698633,4.995,18838373,3935392
10,8447435,Chatham,MA,NOAA_NOS,MSL,-69.951100,41.688500,0.20,0.06,NOAA gage,-69.929309,41.685987,1.393,9484979,4780530
11,8447930,Woods Hole,MA,NOAA_NOS,MSL,-70.671700,41.523300,0.38,0.12,NOAA gage,-70.669641,41.523120,2.013,8801207,4434807
12,8449130,Nantucket Island,MA,NOAA_NOS,MSL,-70.091286,41.285000,0.27,0.08,NOAA gage,-70.091624,41.285206,4.898,9672109,4888198
13,8452660,Newport,RI,NOAA_NOS,MSL,-71.326700,41.505000,0.30,0.09,NOAA gage,-71.327299,41.502804,4.650,19867107,4452782
14,8452944,Conimicut Light,RI,NOAA_NOS,MSL,-71.343300,41.716700,0.30,0.09,NOAA gage,-71.342992,41.716801,13.963,7250241,3672024
15,8454000,Providence,RI,NOAA_NOS,MSL,-71.401700,41.806700,0.22,0.07,NOAA gage,-71.348062,41.723654,10.349,29346630,3636176
16,8454049,Quonset Point,RI,NOAA_NOS,MSL,-71.411000,41.586800,0.42,0.13,NOAA gage,-71.408873,41.584805,9.363,19302251,4169107
