lon,lat,val
-65.5,  44.1 ,0
 -63.5   ,  45., 0  
 -63.25  ,  46., 0  
 -65.   ,  46. , 0 
 -68.   ,  45.5 , 0 
 -71.   ,  44., 0  
 -72. ,  42., 0 
 -74   ,  42.5, 0 
 -75.   ,  40.75, 0 
 -76.   ,  40., 0 
 -78.   ,  38.5,0 
 -78.   ,  35.5, 0 
 -80.   ,  34., 0 
 -81.5   ,  33., 0 
 -82.5   ,  31., 0 
 -82   ,  29., 0  
 -80.75   ,  27. ,0  
 -81.1   ,  26.5 , 0 
 -81.45   ,  27. , 0 
 -82.25   ,  29., 0  
 -82.75   ,  30.5 , 0 
 -85.   ,  31., 0  
 -88.   ,  32., 0  
 -90.   ,  31.25, 0
 -92.5   ,  31.25, 0
 -94.   ,  31., 0  
 -96.   ,  30. , 0 
 -98.   ,  28. , 0 
 -98.2   ,  25.5 , 0
 -98.5  ,  24.5, 0
