,lon,lat,Node,Period_0,Period_1,Period_2,Period_3
8410140,-66.982315,44.9033,1034613,-0.025141332684462798,0.10489289554722107,-0.0769113010992876,0.096286171209067
8413320,-68.203,44.393,1162475,-0.03168358418861683,0.05175928806550165,-0.0820864834930558,-0.07105675478559755
8418150,-70.245674,43.6567,1176249,-0.03492870734896379,0.07830539638186856,-0.08424267217555581,-0.03628839117857575
8419317,-70.56331,43.32,1182888,-0.04645525624828109,0.07243346049705814,-0.08524029250304088,0.02270877344655035
8443970,-71.03838,42.35392,991751,-0.08863835735314339,0.012523877728316197,-0.12444219607911512,-0.005157416982464071
8447930,-70.6717,41.5233,1268115,-0.1152868352619008,-0.1300853849608458,-0.1873830082613256,-0.13590163132514124
8449130,-70.091286,41.285,1411509,-0.08917543272223445,-0.11566775457481855,-0.11755725524165327,-0.09852374622534014
8461490,-72.0867,41.355,1052139,-0.1035946933516439,-0.1266594500312077,-0.1951731429936602,-0.08636113893807673
8465705,-72.9125,41.2833,824413,-0.09061938346103433,-0.12456286088065605,-0.17030653815562283,0.005083856216056194
8467150,-73.1817,41.1733,730946,-0.10876304936283475,-0.14608314011607074,-0.18379392464396935,-0.01276535478520067
8510560,-71.965,41.048,1395009,-0.1354983896068738,-0.1804634336012733,-0.20874965353688765,-0.1351869862621697
8516945,-73.767883,40.81031,950489,-0.10607941972554115,-0.11493292310574332,-0.14804725777864805,-0.04897994783239579
8518750,-74.0142,40.699296000000004,1266674,-0.10384974223931166,-0.08088307441156407,-0.211340386145093,-0.12473191548100937
8531680,-74.01,40.4667,1449501,-0.1298689484921541,-0.1228679950671769,-0.21615905892834508,-0.13260758481165336
8534720,-74.418,39.354,1562085,-0.15071375888752916,-0.19753417507756135,-0.22215834409611465,-0.1960515379409743
8536110,-74.96365899999999,38.969112,1546015,,,,
8557380,-75.11916,38.785756,1540535,-0.16150471732300728,-0.13873266451838948,-0.2097591423911009,-0.14197414733306477
8570283,-75.09167,38.32833,1579004,-0.19194901014386753,-0.0975894569143619,-0.26308340505010597,-0.2186007323120324
8635750,-76.46444,37.996109999999994,1753697,-0.2289781562205743,-0.2618891339149963,-0.2854185636894521,-0.15446008714257284
8638901,-76.083333,37.033333,1667208,-0.15471839160443668,-0.16637012262873255,-0.18902360841065646,-0.1443482824411179
8651370,-75.74667,36.18333,1592136,-0.08882605467794745,-0.11099283400426645,-0.10625307354592516,-0.15461969117245347
8656483,-76.671,34.72,1416194,-0.16975164056890915,-0.21103717669453517,-0.2739164445307157,-0.24029864967234713
8658163,-77.784973,34.21331,1405214,-0.22795660536314152,-0.2339442569206923,-0.2647182601129066,-0.3093393958201324
8661070,-78.916384,33.655,1350289,-0.1683816936893978,-0.16930873672197552,-0.19046411142928601,-0.24924626500896538
8665530,-79.922178,32.7817,1236589,-0.2340970647714351,-0.165801419183257,-0.22522612648852572,-0.2517816180196902
8670870,-80.9017,32.034612,1165583,-0.16696774913588808,-0.08938079455121721,-0.1813892925255478,-0.19608157629485493
8720030,-81.466768,30.6717,1152522,-0.12073440917432375,0.008822192772526992,-0.1628884149511148,-0.12716123371698151
8720218,-81.43,30.3967,1212537,-0.10882570831732384,-0.08262761508075069,-0.15450348079878054,-0.1515394081133454
8721604,-80.59352700000001,28.41583,1251971,-0.16572065880168585,-0.10568048594824746,-0.17053242205156346,-0.2151061773517756
8722670,-80.03416999999999,26.612779999999997,1302999,-0.24781995158552608,-0.27369189187010706,-0.3211377978069705,-0.3048300470438247
8723214,-80.159,25.731154999999998,1160390,-0.23071819664690718,-0.26731796119422074,-0.27554885274993596,-0.27692354627373184
8723970,-81.105,24.7138,843056,-0.17662103000325904,-0.21922798926735396,-0.2248177519057369,-0.2505158669057014
8724580,-81.817,24.549,805177,-0.22812596519047,-0.26616090237597395,-0.2829036509540278,-0.301330639520949
8725110,-81.8106,26.13167,677402,-0.22691138795162094,-0.34477145472972803,-0.2780589196632972,-0.26559472295077297
8726724,-82.833,27.9783,642196,-0.23915040169970522,-0.3571385326179543,-0.19569321975467635,-0.23198567083258878
8727520,-83.03089,29.1306,594808,-0.23424404210969307,-0.29575857381560416,-0.09808600402128465,-0.19264474665931408
8729210,-85.88,30.211,549873,-0.2512447724524525,-0.2633649073709134,-0.21531517352660137,-0.29206591258394604
8729840,-87.212,30.4015,506871,-0.2947998636448465,-0.3131418382565093,-0.2901202029126115,-0.3256344196106442
8735180,-88.0732,30.25,551721,-0.31805191681134,-0.3519575964050304,-0.29754173074985596,-0.34692955953879684
8747437,-89.3241,30.326390000000004,310024,-0.10056269921692722,-0.26943675276901974,-0.18232480133086562,-0.25682755716689865
8760721,-89.25831,29.178309999999996,598673,-0.018567077795321907,-0.09731792366303071,-0.021548497177951178,-0.04993417701795533
8761305,-89.67898100000001,29.870579,296041,-0.1901529963804365,-0.29100709988473566,-0.1794932369421631,-0.2935896661384463
8761724,-89.94894000000001,29.26333,593088,-0.13913829454790155,-0.19990746971615694,-0.1508982126199263,-0.22239654689284752
8764314,-91.3839,29.3675,580635,-0.1289164939495043,-0.30199822024997,-0.3006475004169889,-0.38394532193043945
8766072,-92.305,29.555,554724,,,,
8768094,-93.34289,29.76817,518411,-0.18368461214216927,-0.225375160817866,-0.23144817349775848,-0.31220610648633434
