,lon,lat,Node,Period_0,Period_1,Period_2,Period_3
8410140,-66.982315,44.9033,1034613,-0.061649364552806056,-0.0005238378779110301,-0.0020578505450457862,0.012188029419085497
8413320,-68.203,44.393,1162475,-0.06552156520952117,0.00014107918395237876,-0.00869116667983831,0.02012016622664899
8418150,-70.245674,43.6567,1176249,-0.053768743770469495,-0.0028463743365065622,-0.017675487007995806,0.013520707400592713
8419317,-70.56331,43.32,1182888,-0.04643180951008266,-0.018266172780500384,-0.01808491123882156,-0.01794852364208148
8443970,-71.03838,42.35392,991751,-0.13024689824130056,-0.06706621738242112,-0.07451415170468738,-0.039142880592387165
8447930,-70.6717,41.5233,1268115,-0.1581548179335231,-0.09829593923087425,-0.09952303291321013,-0.07699319622700228
8449130,-70.091286,41.285,1411509,-0.18054867763052096,-0.048468492867774556,-0.07695783877235564,-0.04397930884664985
8461490,-72.0867,41.355,1052139,-0.17751833727930055,-0.1154343875931167,-0.13062119146508003,-0.09524883313501852
8465705,-72.9125,41.2833,824413,-0.18890274902018747,-0.13858366583903678,-0.1531258771885646,-0.10536065340717275
8467150,-73.1817,41.1733,730946,-0.21227643293920395,-0.18005192773829384,-0.17332787849627818,-0.14127067426779663
8510560,-71.965,41.048,1395009,-0.22596538136735933,-0.1787096170967144,-0.17696473898944545,-0.1516984731983172
8516945,-73.767883,40.81031,950489,-0.2532018926048783,-0.2432213205191526,-0.21214095527308072,-0.17978154359846457
8518750,-74.0142,40.699296000000004,1266674,-0.25982240223649056,-0.18436381216037867,-0.19281512859014197,-0.1620660756173925
8531680,-74.01,40.4667,1449501,-0.29670718285314013,-0.21609351810971902,-0.22690270184583994,-0.19767874905457516
8534720,-74.418,39.354,1562085,-0.3101830449820429,-0.2231872252941196,-0.2359531176032453,-0.21254094483353528
8536110,-74.96365899999999,38.969112,1546015,,,,
8557380,-75.11916,38.785756,1540535,-0.31537202088246485,-0.2471242806762031,-0.25541554047436826,-0.2133464599055149
8570283,-75.09167,38.32833,1579004,-0.28215378849774625,-0.23012892827264506,-0.209801994539114,-0.11729616172833583
8635750,-76.46444,37.996109999999994,1753697,-0.29239975934051826,-0.31064396971111435,-0.29194709231540555,-0.2687506281695676
